# AIRGLOW LINE LIST for SKYCORR (Noll et al. 2013)
# based on
# - Hanuschik (2003) and Cosby et al. (2006) UVES line atlas
#   for optical non-OH lines and OH lines with delta v >= 4
#   (scaled to mean intensities of the Patat (2008) FORS1 data set)
# - OH calculations of Rousselot et al. (2000)
#   for Einstein coefficients of Goldman et al. (1998) instead of Mies (1974)
#   (scaled to the measured OH intensities in the optical)
# - O2 bands at 1.27 and 1.58 mum from the HITRAN database for 200 K
#   (scaled to match mean O2/OH band flux ratios of an XSHOOTER NIR data set)
# Meaning of Columns:
# Wavelength: line centres in vacuum and mum
# Flux: unextincted line flux in phot/sm2as2
# Trans: absorption-related transmission at zenith for Cerro Paranal mean
#        conditions
# Different variability classes are indicated:
# Type: 1: OI5577, 2: NaID, 3: OIred, 4: OH, 5: O2
# Flag for roto-vibrational systems (A and B groups defined):
# System: 0: no B groups defined, 1: OH, 2: O2(b-X), 3: O2(a-X)
# Fine classification by two group IDs:
# GroupA: e.g. same electronic states or vibrational transitions
# GroupB: e.g. same rotational upper levels
# For more details: SKYCORR user manual and Noll et al. (2012, A&A 543, A92)
# Wavelength[mum] Flux[phot/sm2as2] Trans[X=1] Type System GroupA GroupB
0.361983   0.0012 0.997765  5  0 41  0                                          
0.362035   0.0015 0.997829  5  0 41  0                                          
0.362092   0.0015 0.997901  5  0 41  0                                          
0.362156   0.0014 0.997983  5  0 41  0                                          
0.362219   0.0017 0.998064  5  0 41  0                                          
0.362294   0.0011 0.998159  5  0 41  0                                          
0.362361   0.0014 0.998246  5  0 41  0                                          
0.362447   0.0009 0.998354  5  0 41  0                                          
0.362519   0.0017 0.998429  5  0 41  0                                          
0.362616   0.0001 0.998523  5  0 41  0                                          
0.362693   0.0011 0.998596  5  0 41  0                                          
0.362884   0.0021 0.998812  5  0 41  0                                          
0.363004   0.0014 0.998915  5  0 41  0                                          
0.363089   0.0030 0.998969  5  0 41  0                                          
0.363313   0.0021 0.999118  5  0 41  0                                          
0.363335   0.0015 0.999133  5  0 39  0                                          
0.363441   0.0011 0.999203  5  0 39  0                                          
0.363498   0.0019 0.999241  5  0 39  0                                          
0.363551   0.0017 0.999278  5  0 41  0                                          
0.363656   0.0022 0.999341  5  0 39  0                                          
0.363710   0.0024 0.999359  5  0 39  0                                          
0.363805   0.0010 0.999401  5  0 41  0                                          
0.363921   0.0015 0.999470  5  0 39  0                                          
0.363946   0.0005 0.999476  5  0 39  0                                          
0.363974   0.0023 0.999482  5  0 39  0                                          
0.364076   0.0009 0.999501  5  0 41  0                                          
0.364155   0.0009 0.999513  5  0 39  0                                          
0.364231   0.0013 0.999525  5  0 39  0                                          
0.364257   0.0015 0.999530  5  0 39  0                                          
0.364289   0.0013 0.999535  5  0 39  0                                          
0.364363   0.0012 0.999546  5  0 41  0                                          
0.364432   0.0017 0.999557  5  0 41  0                                          
0.364654   0.0006 0.999587  5  0 39  0                                          
0.364667   0.0012 0.999588  5  0 41  0                                          
0.365009   0.0007 0.999689  5  0 39  0                                          
0.365037   0.0007 0.999700  5  0 39  0                                          
0.365071   0.0006 0.999713  5  0 39  0                                          
0.366584   0.0007 0.999911  5  0 41  0                                          
0.366914   0.0005 0.999955  5  0 41  0                                          
0.367086   0.0012 0.999956  5  0 41  0                                          
0.367446   0.0006 0.999956  5  0 41  0                                          
0.367713   0.0012 0.999956  5  0 41  0                                          
0.369890   0.0010 0.999956  5  0 41  0                                          
0.369915   0.0014 0.999956  5  0 41  0                                          
0.369955   0.0020 0.999956  5  0 41  0                                          
0.370013   0.0009 0.999956  5  0 41  0                                          
0.370066   0.0012 0.999956  5  0 41  0                                          
0.370086   0.0011 0.999956  5  0 41  0                                          
0.370146   0.0011 0.999956  5  0 41  0                                          
0.370174   0.0012 0.999956  5  0 41  0                                          
0.370242   0.0013 0.999956  5  0 41  0                                          
0.370278   0.0016 0.999956  5  0 41  0                                          
0.370351   0.0012 0.999956  5  0 41  0                                          
0.370398   0.0008 0.999956  5  0 41  0                                          
0.370478   0.0014 0.999956  5  0 41  0                                          
0.370533   0.0013 0.999956  5  0 41  0                                          
0.370620   0.0014 0.999956  5  0 41  0                                          
0.370686   0.0005 0.999956  5  0 41  0                                          
0.370778   0.0013 0.999956  5  0 41  0                                          
0.370855   0.0009 0.999956  5  0 41  0                                          
0.370953   0.0014 0.999956  5  0 41  0                                          
0.371040   0.0007 0.999956  5  0 41  0                                          
0.371144   0.0013 0.999956  5  0 41  0                                          
0.371223   0.0006 0.999956  1  0  1  0                                          
0.371241   0.0005 0.999956  5  0 41  0                                          
0.371574   0.0014 0.999956  5  0 41  0                                          
0.371810   0.0009 0.999956  5  0 41  0                                          
0.372066   0.0007 0.999956  5  0 41  0                                          
0.372339   0.0014 0.999956  5  0 41  0                                          
0.372932   0.0012 0.999956  5  0 41  0                                          
0.373242   0.0011 0.999956  5  0 41  0                                          
0.373270   0.0011 0.999956  5  0 41  0                                          
0.373421   0.0013 0.999956  5  0 39  0                                          
